iso,abk,afr,alb,amh,arb,asm,ast,azj,bak,bas,bel,ben,bre,bul,cat,ces,chv,ckb,cmn,cnh,cym,dan,deu,div,dyu,ell,eng,est,eus,fin,fra,fry,gle,glg,hau,heb,hin,hsb,hun,hye,ind,ita,jpn,kab,kat,kaz,khk,kin,kir,kmr,kor,lao,lav,lit,lug,mal,mar,mdf,mhr,min,mkd,mlt,mrj,myv,nep,nld,nor,oci,ori,oss,pan,pes,pol,por,pst,roh,ron,rus,sah,sat,skr,slk,slv,spa,srp,swe,swh,tam,tat,tel,tha,tig,tuk,tur,uig,ukr,urd,uzn,vie,yor,yue,zgh
abk,0.0,0.8728715342783275,0.8933761255237586,0.8720691807078541,0.9144156191495051,0.8751002941963091,0.904609075510386,0.9031826691628778,0.8911473656057769,0.8758134973700632,0.8765267005438173,0.8947133814745476,0.8981010965498796,0.8882054025140411,0.8755460461799054,0.8917714183828118,0.8808059195863421,0.8790229116519568,0.8634215922260854,0.8767050013372559,0.9034501203530356,0.8815191227600963,0.8887403048943567,0.8489792279575644,0.9018454132120888,0.9123651600249622,0.8693055184095569,0.8794686636355532,0.8944459302843898,0.8927520727467237,0.9049656770972632,0.8887403048943567,0.9010430596416154,0.893821877507355,0.8971204421859676,0.8963180886154943,0.8890969064812339,0.8979227957564411,0.8976553445662833,0.9061246322546135,0.8869572969599714,0.8936435767139164,0.9035392707497548,0.8697512703931533,0.8829455291076046,0.9022020147989659,0.9045199251136666,0.8718017295176964,0.8970312917892485,0.9071052866185254,0.9117411072479272,0.8789337612552376,0.9140590175626282,0.8957831862351787,0.8821431755371312,0.9034501203530356,0.9024694659891237,0.8816082731568156,0.8834804314879201,0.9095123473299456,0.8780422572880449,0.9055897298742979,0.8983685477400374,0.8876705001337255,0.9160203262904519,0.8912365160024962,0.8775073549077294,0.8727823838816083,0.8932869751270394,0.8945350806811091,0.8893643576713917,0.8775073549077294,0.8984576981367567,0.9265400731033253,0.8685923152358028,0.8751002941963091,0.8748328430061513,0.8767941517339751,0.896585539805652,0.9083533921725951,0.8904341624320228,0.8861549433894981,0.878398858874922,0.9031826691628778,0.8720691807078541,0.8920388695729696,0.8957831862351787,0.8936435767139164,0.8873138985468485,0.8851742890255863,0.8709102255505037,0.8869572969599714,0.9060354818578942,0.8848176874387091,0.8931086743336009,0.8802710172060265,0.9102255505036997,0.9001515556744227,0.894178479094232,0.8948025318712669,0.8848176874387091,0.8803601676027458
afr,0.8728715342783275,0.0,0.8836587322813587,0.8931978247303201,0.8725149326914505,0.7798876705001337,0.7931710796113043,0.897209592582687,0.8674333600784523,0.8688597664259605,0.8230364625122581,0.8090398502273335,0.8397075866987608,0.8068110903093518,0.805206383168405,0.826691628777748,0.8743870910225551,0.8387269323348489,0.9218151020772043,0.8954265846483016,0.8314165998038692,0.6381385397165017,0.5304448604796291,0.7949540875456896,0.8678791120620486,0.8533475973968084,0.5268788446108585,0.8822323259338504,0.898546848533476,0.8685031648390835,0.8103771061781225,0.5134171347062495,0.859944726754034,0.7767674066149594,0.8634215922260854,0.8868681465632522,0.8245520192564856,0.832040652580904,0.8649371489703128,0.8675225104751716,0.907996790585718,0.799144156191495,0.9083533921725951,0.8698404207898724,0.9020237140055274,0.87741820451101,0.8847285370419897,0.8792012124453954,0.8949808326647053,0.8322189533743425,0.9038958723366319,0.8967638405990906,0.8598555763573148,0.8396184363020416,0.9128109120085585,0.8565570116787019,0.8398858874921993,0.9035392707497548,0.8513862886689846,0.9153962735134172,0.8007488633324418,0.9024694659891237,0.8486226263706873,0.9243113131853438,0.8356066684496746,0.4307747169474904,0.5957921012748506,0.8419363466167424,0.8210751537844343,0.8422037978069002,0.8282963359186948,0.834447713292324,0.8257109744138361,0.8576268164393331,0.8433627529642507,0.7815815280377998,0.8011946153160382,0.8446108585183203,0.8826780779174468,0.8805384683961843,0.8517428902558617,0.8312382990104306,0.8186680930730141,0.799144156191495,0.8195595970402069,0.5865204600160471,0.9009539092448962,0.8456806632789515,0.8651154497637515,0.9113845056610502,0.8756351965766247,0.90897744494963,0.9120977088348043,0.9105821520905768,0.8779531068913257,0.841133993046269,0.813229918873139,0.8766158509405366,0.8973878933761255,0.8903450120353036,0.8973878933761255,0.8990817509137915
alb,0.8933761255237586,0.8836587322813587,0.0,0.8975661941695641,0.8706427743603459,0.8693946688062761,0.8251760720335205,0.9105821520905768,0.8662744049211019,0.9035392707497548,0.8534367477935277,0.8586074708032451,0.8536150485869662,0.8570027636622982,0.8175982883123829,0.8713559775341,0.872693233484889,0.8865115449763751,0.900240706071142,0.8701970223767496,0.8811625211732192,0.8422037978069002,0.8529909958099314,0.8809842203797806,0.875724346973344,0.8714451279308193,0.862262637068735,0.8725149326914505,0.8773290541142907,0.9093340465365071,0.815280377997682,0.869662119996434,0.8733172862619238,0.8313274494071499,0.8990817509137915,0.8546848533475975,0.8258892752072746,0.8662744049211019,0.8762592493536596,0.8576268164393331,0.8936435767139164,0.8049389319782474,0.9013996612284925,0.8828563787108853,0.8918605687795311,0.8994383525006686,0.8959614870286172,0.8912365160024962,0.9147722207363823,0.8651154497637515,0.8764375501470981,0.8978336453597218,0.8541499509672819,0.8457698136756708,0.9107604528840153,0.9058571810644557,0.8762592493536596,0.9016671124186503,0.8915931175893733,0.8814299723633771,0.8707319247570652,0.8715342783275386,0.8799144156191495,0.9144156191495051,0.8847285370419897,0.8697512703931533,0.8413122938397076,0.8378354283676562,0.8249086208433628,0.8682357136489257,0.8692163680128376,0.8652937505571899,0.8783097084782027,0.806187037532317,0.8716234287242578,0.8221449585450655,0.8060087367388784,0.8823214763305697,0.8925737719532852,0.8643130961932781,0.8611928323081037,0.8575376660426138,0.872693233484889,0.8465721672461441,0.8773290541142907,0.869662119996434,0.896585539805652,0.8964963894089328,0.8869572969599714,0.8877596505304448,0.8824997771240082,0.8677899616653294,0.8940001783007935,0.8852634394223053,0.889186056877953,0.8735847374520816,0.859588125167157,0.8995275028973879,0.8990817509137915,0.896585539805652,0.8989926005170723,0.878755460461799
amh,0.8720691807078541,0.8931978247303201,0.8975661941695641,0.0,0.7959347419096015,0.8751002941963091,0.8986359989301952,0.901221360435054,0.84585896407239,0.8815191227600963,0.8884728537041989,0.8834804314879201,0.8764375501470981,0.8718017295176964,0.8734955870553625,0.8909690648123384,0.9090665953463493,0.9075510386021217,0.8782205580814835,0.8982793973433182,0.8918605687795311,0.8753677453864669,0.8616385842917001,0.8790229116519568,0.8701970223767496,0.9013105108317732,0.858250869216368,0.8718908799144156,0.8850851386288668,0.8859766425960595,0.8620843362752965,0.8818757243469734,0.900597307658019,0.9009539092448962,0.8890077560845145,0.8048497815815281,0.8717125791209771,0.8834804314879201,0.9007756084514577,0.8803601676027458,0.8864223945796559,0.8912365160024962,0.8531692966033699,0.873673887848801,0.8732281358652046,0.8791120620486761,0.885798341802621,0.8923954711598466,0.8947133814745476,0.8864223945796559,0.854863154141036,0.8939110279040742,0.8860657929927788,0.8953374342515825,0.8751002941963091,0.8846393866452706,0.882410626727289,0.8818757243469734,0.8906124632254614,0.8950699830614247,0.8752785949897478,0.8023535704733886,0.8616385842917001,0.8935544263171972,0.8762592493536596,0.8907907640188999,0.868324864045645,0.8820540251404119,0.870999375947223,0.8923954711598466,0.8743870910225551,0.9178924846215565,0.8839261834715165,0.8917714183828118,0.916376927877329,0.9096014977266649,0.904609075510386,0.8766158509405366,0.8848176874387091,0.8546848533475975,0.8816974235535349,0.8852634394223053,0.8580725684229294,0.9108496032807346,0.8607470803245074,0.8697512703931533,0.8860657929927788,0.9104038512971383,0.8650262993670321,0.878398858874922,0.8927520727467237,0.7034857805117233,0.900240706071142,0.8942676294909513,0.8858874921993403,0.8845502362485513,0.8881162521173219,0.893821877507355,0.8740304894356781,0.8850851386288668,0.9047873763038244,0.8585183204065258
arb,0.9144156191495051,0.8725149326914505,0.8706427743603459,0.7959347419096015,0.0,0.8730498350717661,0.8594098243737185,0.8890969064812339,0.9060354818578942,0.8974770437728448,0.8821431755371312,0.8643130961932781,0.8823214763305697,0.8866006953730944,0.8539716501738434,0.882767228314166,0.9123651600249622,0.8816082731568156,0.8578051172327716,0.8764375501470981,0.8697512703931533,0.8816974235535349,0.8624409378621735,0.8829455291076046,0.9053222786841401,0.879736114825711,0.8469287688330213,0.8817865739502541,0.9018454132120888,0.8813408219666578,0.87741820451101,0.8843719354551128,0.9068378354283676,0.8527235446197736,0.8643130961932781,0.7424445038780423,0.8698404207898724,0.8714451279308193,0.8996166532941071,0.866006953730944,0.8944459302843898,0.8435410537576893,0.8892752072746724,0.8433627529642507,0.9003298564678612,0.8974770437728448,0.9128109120085585,0.9127217616118392,0.898546848533476,0.8795578140322724,0.8690380672193991,0.8762592493536596,0.8994383525006686,0.8980119461531604,0.8911473656057769,0.8640456450031203,0.8849068378354285,0.8766158509405366,0.8964072390122135,0.8809842203797806,0.8809842203797806,0.6574841758045823,0.8863332441829366,0.8978336453597218,0.8693055184095569,0.8652937505571899,0.8741196398323973,0.878755460461799,0.8586074708032451,0.8778639564946064,0.8742979406258357,0.9043416243202282,0.8915931175893733,0.8419363466167424,0.8807167691896229,0.8668093073014175,0.8583400196130873,0.8866898457698136,0.896228938218775,0.8848176874387091,0.821966657751627,0.8864223945796559,0.8877596505304448,0.8624409378621735,0.8752785949897478,0.857270214852456,0.897209592582687,0.8744762414192744,0.8922171703664081,0.8862440937862173,0.8718908799144156,0.666131764286351,0.8893643576713917,0.9069269858250869,0.8821431755371312,0.8590532227868414,0.850851386288669,0.8956048854417401,0.8642239457965588,0.8811625211732192,0.8970312917892485,0.8164393331550325
asm,0.8751002941963091,0.7798876705001337,0.8693946688062761,0.8751002941963091,0.8730498350717661,0.0,0.8338236605152893,0.8957831862351787,0.8792012124453954,0.905233128287421,0.8204511010073995,0.4500312026388517,0.8629758402424891,0.8457698136756708,0.8309708478202728,0.8605687795310689,0.8918605687795311,0.7925470268342695,0.8940893286975128,0.8688597664259605,0.8556655077115093,0.8557546581082285,0.8151912276009627,0.6340376214674156,0.8890969064812339,0.885798341802621,0.8788446108585183,0.8380137291610947,0.8878488009271641,0.8425603993937774,0.8720691807078541,0.8496032807345992,0.8768833021306944,0.8231256129089775,0.8601230275474726,0.8712668271373808,0.5745743068556656,0.8540608005705626,0.8586966211999643,0.8846393866452706,0.8726040830881697,0.7853258447000089,0.8711776767406615,0.8471962200231791,0.8839261834715165,0.9119194080413658,0.8504056343050727,0.8861549433894981,0.8853525898190246,0.7597396808415797,0.8887403048943567,0.9216368012837657,0.8673442096817331,0.8391726843184452,0.8563787108852634,0.848176874387091,0.6672015690469822,0.8567353124721404,0.8513862886689846,0.8309708478202728,0.8314165998038692,0.8918605687795311,0.820272800213961,0.8680574128554872,0.5942765445306232,0.7969153962735134,0.8533475973968084,0.8358741196398324,0.468931086743336,0.8274048319515022,0.6429526611393421,0.7998573593652492,0.8527235446197736,0.8124275653026656,0.8422037978069002,0.7972719978603905,0.7929036284211465,0.8570027636622982,0.9102255505036997,0.8995275028973879,0.6442007666934119,0.8360524204332709,0.8565570116787019,0.8249977712400821,0.8355175180529553,0.8505839350985112,0.8853525898190246,0.8562004100918249,0.9338504056343051,0.8644913969867166,0.9007756084514577,0.8638673442096818,0.8984576981367567,0.8944459302843898,0.9008647588481768,0.821966657751627,0.5725238477311224,0.901221360435054,0.888829455291076,0.8798252652224302,0.8973878933761255,0.8786663100650798
ast,0.904609075510386,0.7931710796113043,0.8251760720335205,0.8986359989301952,0.8594098243737185,0.8338236605152893,0.0,0.8706427743603459,0.8903450120353036,0.8927520727467237,0.8396184363020416,0.8793795132388339,0.8003922617455648,0.8647588481768744,0.5589729874297941,0.8225907105286618,0.8835695818846394,0.8710885263439422,0.8930195239368816,0.9132566639921548,0.8067219399126325,0.7919229740572346,0.8306142462333957,0.8704644735669074,0.8722474815012927,0.8241062672728894,0.8301684942497994,0.8986359989301952,0.8903450120353036,0.8700187215833111,0.7214050102522956,0.8758134973700632,0.8429170009806544,0.4717838994383525,0.9069269858250869,0.8670767584915753,0.8364090220201479,0.8300793438530801,0.9040741731300704,0.9049656770972632,0.8661852545243826,0.51092092359811,0.8931086743336009,0.9001515556744227,0.8983685477400374,0.9176250334313988,0.8711776767406615,0.9219934028706428,0.9130783631987163,0.8249086208433628,0.8907907640188999,0.8537041989836855,0.8754568957831862,0.848176874387091,0.8944459302843898,0.8512971382722653,0.8452349112953552,0.8647588481768744,0.8924846215565659,0.8633324418293662,0.8284746367121334,0.8557546581082285,0.8553980565213515,0.8936435767139164,0.8771507533208522,0.8362307212267094,0.8307925470268342,0.6517785504145494,0.8242845680663278,0.8454132120887937,0.8190246946598913,0.8504056343050727,0.8400641882856379,0.5867879112062048,0.8808059195863421,0.6278862440937862,0.6166532941071587,0.8778639564946064,0.887492199340287,0.9066595346349291,0.8678791120620486,0.8373005259873406,0.8285637871088526,0.3784434340732816,0.8370330747971828,0.8573593652491753,0.9232415084247125,0.8792012124453954,0.9033609699563163,0.9085316929660336,0.8710885263439422,0.8833912810912009,0.8821431755371312,0.8806276187929036,0.8761700989569403,0.8277614335383792,0.8099313541945261,0.8889186056877952,0.8864223945796559,0.877774806097887,0.8788446108585183,0.866987608094856
azj,0.9031826691628778,0.897209592582687,0.9105821520905768,0.901221360435054,0.8890969064812339,0.8957831862351787,0.8706427743603459,0.0,0.693322635285727,0.8998841044842649,0.8808059195863421,0.8844610858518319,0.8798252652224302,0.8940893286975128,0.8970312917892485,0.8958723366318979,0.8298118926629223,0.8728715342783275,0.8976553445662833,0.8997949540875457,0.8940893286975128,0.912008558438085,0.8843719354551128,0.9070161362218061,0.9195863421592226,0.8886511544976375,0.879736114825711,0.8840153338682357,0.8833021306944816,0.8620843362752965,0.9182490862084336,0.9001515556744227,0.8894535080681109,0.898546848533476,0.8910582152090577,0.9035392707497548,0.894891682267986,0.8840153338682357,0.8546848533475975,0.8881162521173219,0.8867789961665329,0.8954265846483016,0.8906124632254614,0.8910582152090577,0.8364981724168672,0.5493447445841134,0.9033609699563163,0.8734064366586431,0.5207274672372292,0.872693233484889,0.8885620041009182,0.8882054025140411,0.8721583311045734,0.8942676294909513,0.8783097084782027,0.9204778461264153,0.8783097084782027,0.8527235446197736,0.8598555763573148,0.8899884104484265,0.8955157350450209,0.9061246322546135,0.8483551751805295,0.8426495497904966,0.8785771596683605,0.8836587322813587,0.9105821520905768,0.9017562628153696,0.8743870910225551,0.8492466791477222,0.8940001783007935,0.8780422572880449,0.8882054025140411,0.8846393866452706,0.910314700900419,0.900597307658019,0.9065703842382098,0.8810733707764999,0.6428635107426228,0.8930195239368816,0.8915931175893733,0.9053222786841401,0.8989926005170723,0.8944459302843898,0.9058571810644557,0.901577962021931,0.8837478826780779,0.9106713024872961,0.5751092092359812,0.9047873763038244,0.8838370330747972,0.8902558616385843,0.4419185165373986,0.42551484354105373,0.5266113934207007,0.8862440937862173,0.8929303735401622,0.4292591602032629,0.8792012124453954,0.9129000624052778,0.8923063207631274,0.8923954711598466
bak,0.8911473656057769,0.8674333600784523,0.8662744049211019,0.84585896407239,0.9060354818578942,0.8792012124453954,0.8903450120353036,0.693322635285727,0.0,0.8621734866720157,0.8889186056877952,0.8637781938129625,0.9056788802710172,0.8840153338682357,0.8713559775341,0.8921280199696888,0.7819381296246768,0.9049656770972632,0.8728715342783275,0.8830346795043238,0.885798341802621,0.8960506374253365,0.9061246322546135,0.8745653918159935,0.8986359989301952,0.9298386377819381,0.8597664259605955,0.8427387001872159,0.8854417402157438,0.8792012124453954,0.8591423731835607,0.8914148167959347,0.9333155032539895,0.8758134973700632,0.8763483997503788,0.8561112596951056,0.8451457608986359,0.8929303735401622,0.8945350806811091,0.8692163680128376,0.920388695729696,0.87501114379959,0.9178033342248373,0.8693055184095569,0.8917714183828118,0.5389141481679594,0.8708210751537845,0.9047873763038244,0.6114825710974414,0.8558438085049478,0.8744762414192744,0.8998841044842649,0.8679682624587679,0.8866006953730944,0.8868681465632522,0.8702861727734689,0.8654720513506284,0.8688597664259605,0.8868681465632522,0.9064812338414906,0.8966746902023713,0.8762592493536596,0.8740304894356781,0.8690380672193991,0.8784880092716413,0.8838370330747972,0.8881162521173219,0.8594989747704377,0.9205669965231346,0.8798252652224302,0.8862440937862173,0.8644022465899972,0.8919497191762503,0.8914148167959347,0.8868681465632522,0.8960506374253365,0.900240706071142,0.8834804314879201,0.6541856111259695,0.8988142997236337,0.8923954711598466,0.8982793973433182,0.857270214852456,0.8868681465632522,0.8584291700098066,0.9160203262904519,0.905946331461175,0.8676116608718908,0.42257288044931796,0.9137915663724704,0.897209592582687,0.863956494606401,0.66746902023714,0.6437550147098154,0.6245876794151735,0.8659178033342247,0.8694838192029954,0.5545154675938309,0.8721583311045734,0.8824997771240082,0.8676116608718908,0.8956048854417401
bas,0.8758134973700632,0.8688597664259605,0.9035392707497548,0.8815191227600963,0.8974770437728448,0.905233128287421,0.8927520727467237,0.8998841044842649,0.8621734866720157,0.0,0.8716234287242578,0.8952482838548631,0.8776856557011679,0.8861549433894981,0.8854417402157438,0.8635107426228047,0.8930195239368816,0.8507622358919498,0.8691272176161183,0.8581617188196488,0.880092716412588,0.8873138985468485,0.8654720513506284,0.872693233484889,0.8668984576981367,0.9013996612284925,0.8867789961665329,0.8478202728002139,0.8963180886154943,0.8470179192297406,0.8430061513773737,0.8808950699830614,0.8955157350450209,0.9036284211464741,0.8580725684229294,0.882410626727289,0.9068378354283676,0.8687706160292413,0.8608362307212267,0.9056788802710172,0.8738521886422395,0.91503967192654,0.8899884104484265,0.8818757243469734,0.8878488009271641,0.9113845056610502,0.8862440937862173,0.8798252652224302,0.8964072390122135,0.879736114825711,0.9212801996968887,0.8964072390122135,0.9101364001069805,0.8515645894624231,0.8695729695997148,0.8644022465899972,0.8885620041009182,0.8924846215565659,0.9080859409824373,0.9252919675492557,0.8755460461799054,0.9069269858250869,0.9224391548542391,0.8898992600517072,0.910314700900419,0.9038067219399126,0.9242221627886245,0.8842827850583935,0.8986359989301952,0.8729606846750468,0.904252473923509,0.8690380672193991,0.8677008112686101,0.9081750913791566,0.9033609699563163,0.9013996612284925,0.9310867433360078,0.8625300882588928,0.919408041365784,0.8881162521173219,0.8969421413925291,0.8834804314879201,0.8518320406525809,0.8917714183828118,0.856913613265579,0.8957831862351787,0.8679682624587679,0.8693055184095569,0.8950699830614247,0.8624409378621735,0.9110279040741731,0.9138807167691897,0.9254702683426941,0.9114736560577694,0.8917714183828118,0.8759026477667825,0.9009539092448962,0.9060354818578942,0.8886511544976375,0.9293928857983418,0.896585539805652,0.8828563787108853
